id;numero;nom_rue;nom_complet;bureau
1;13;RUE BERTHELOT;13 RUE BERTHELOT;1
2;5;RUE BERTHELOT;5 RUE BERTHELOT;1
3;8;RUE BERTHELOT;8 RUE BERTHELOT;1
4;9;RUE BERTHELOT;9 RUE BERTHELOT;1
5;11;RUE CARNOT;11 RUE CARNOT;4
6;2;RUE CARNOT;2 RUE CARNOT;1
7;2;RUE CARNOT;2 RUE CARNOT;1
8;4;RUE CARNOT;4 RUE CARNOT;1
9;4;AVENUE GEORGES POMPIDOU;4 AVENUE GEORGES POMPIDOU;16
10;158;RUE GAMBETTA;158 RUE GAMBETTA;14
11;8;RUE DU BAC;8 RUE DU BAC;5
12;39;RUE ALBERT CARON;39 RUE ALBERT CARON;28
13;5;RUE ALBERT CARON;5 RUE ALBERT CARON;28
14;40;RUE CARNOT;40 RUE CARNOT;4
15;21;RUE BENOIT MALON;21 RUE BENOIT MALON;17
16;23;RUE BENOIT MALON;23 RUE BENOIT MALON;17
17;25;RUE BENOIT MALON;25 RUE BENOIT MALON;17
18;2;RUE BENOIT MALON;2 RUE BENOIT MALON;17
19;3;RUE BENOIT MALON;3 RUE BENOIT MALON;17
20;4;RUE BENOIT MALON;4 RUE BENOIT MALON;17
21;7;RUE DES PUITS;7 RUE DES PUITS;4
22;8;RUE DES BOCHOUX;8 RUE DES BOCHOUX;19
23;26;IMPASSE DES SOMMELIERS DE LA GROUE;26 IMPASSE DES SOMMELIERS DE LA GROUE;
24;34;RUE DES FLEURS;34 RUE DES FLEURS;27
25;1;IMPASSE DES SOMMELIERS DE LA GROUE;1 IMPASSE DES SOMMELIERS DE LA GROUE;25
26;30;CHEMIN DU SYNDICAT DES CULTIVATEURS;30 CHEMIN DU SYNDICAT DES CULTIVATEURS;27
27;67;RUE DES NOUVELLES;67 RUE DES NOUVELLES;27
28;23;AVENUE DE LA FONTAINE DU TERTRE;23 AVENUE DE LA FONTAINE DU TERTRE;23
29;4;RUE DES ACQUEVILLES;4 RUE DES ACQUEVILLES;24
30;48;RUE DES PARIGOTS;48 RUE DES PARIGOTS;21
31;169;RUE DE VERDUN;169 RUE DE VERDUN;13
32;12;RUE DE LA GAUCHERE;12 RUE DE LA GAUCHERE;1
33;38;RUE DES MOULINEAUX;38 RUE DES MOULINEAUX;8
34;34;RUE CARNOT;34 RUE CARNOT;4
35;38;RUE CARNOT;38 RUE CARNOT;4
36;8;RUE DES VELETTES;8 RUE DES VELETTES;12
37;128;RUE DE LA REPUBLIQUE;128 RUE DE LA REPUBLIQUE;8
38;78;RUE DES COUVALOUX;78 RUE DES COUVALOUX;10
39;70;RUE DE LA PROCESSION;70 RUE DE LA PROCESSION;24
40;34;RUE DES BOURETS;34 RUE DES BOURETS;5
41;6;CITE DANTON;6 CITE DANTON;
42;21;RUE DANTON;21 RUE DANTON;18
43;29;RUE DANTON;29 RUE DANTON;18
44;8;RUE DANTON;8 RUE DANTON;18
45;43;RUE CARNOT;43 RUE CARNOT;15
46;45;RUE CARNOT;45 RUE CARNOT;15
47;56;RUE CARNOT;56 RUE CARNOT;15
48;58;RUE CARNOT;58 RUE CARNOT;15
49;59;RUE CARNOT;59 RUE CARNOT;15
50;68;RUE CARNOT;68 RUE CARNOT;15
51;80;RUE CARNOT;80 RUE CARNOT;12
52;86;RUE CARNOT;86 RUE CARNOT;12
53;88;RUE CARNOT;88 RUE CARNOT;12
54;90;RUE CARNOT;90 RUE CARNOT;12
55;92;RUE CARNOT;92 RUE CARNOT;12
56;6;RUE DE LA CERISAIE;6 RUE DE LA CERISAIE;1
57;18;DOMAINE DES HOCQUETTES;18 DOMAINE DES HOCQUETTES;25
58;25;RUE DES BONS RAISINS;25 RUE DES BONS RAISINS;24
59;36;RUE DES CARRIERES;36 RUE DES CARRIERES;25
60;18;RUE DU PAS SAINT-MAURICE;18 RUE DU PAS SAINT-MAURICE;24
61;42;RUE CARNOT;42 RUE CARNOT;4
62;5;RUE CARNOT;5 RUE CARNOT;1
63;32;RUE DU DOCTEUR MARC BOMBIGER;32 RUE DU DOCTEUR MARC BOMBIGER;29
64;18;RUE DES FLEURS;18 RUE DES FLEURS;27
65;5;RUE DU COMMANDANT RIVIERE;5 RUE DU COMMANDANT RIVIERE;16
66;26;RUE DU FECHERAY;26 RUE DU FECHERAY;23
67;36;RUE MERLIN DE THIONVILLE;36 RUE MERLIN DE THIONVILLE;1
68;25;RUE MERLIN DE THIONVILLE;25 RUE MERLIN DE THIONVILLE;2
69;43;RUE DES CARRIERES;43 RUE DES CARRIERES;25
70;6;RUE CARNOT;6 RUE CARNOT;1
71;11;RUE ALBERT CARON;11 RUE ALBERT CARON;28
72;53;RUE ALBERT CARON;53 RUE ALBERT CARON;28
73;5;RUE DU RATRAIT;5 RUE DU RATRAIT;11
