id;address;new_address;match
1;ALLEE ARNAUD BELTRAME;ALLEE ARNAUD BELTRAME;False
2;ALLEE BASSE VILLAGE ANGLAIS;ALLEE BASSE DU VILLAGE ANGLAIS;False
3;ALLEE CAMILLE SAINT-SAENS;ALLEE CAMILLE SAINT-SAENS;True
4;ALLEE CHARLES GOUNOD;ALLEE CHARLES GOUNOD;True
5;ALLEE CHARLES PERRAULT;ALLEE CHARLES PERRAULT;False
6;ALLEE DE LA PEPINIERE;ALLEE DE LA PEPINIERE;True
7;ALLEE DE LA VENELLE;ALLEE DE LA VENELLE;True
8;ALLEE DE L'ANCIEN PONT;ALLEE DE L'ANCIEN PONT;True
9;ALLEE DE L'ECLUSE;ALLEE DE L'ECLUSE;True
10;ALLEE DE LONGCHAMP;ALLEE DE LONGCHAMP;True
11;ALLEE DES ACACIAS;ALLEE DES ACACIAS;True
12;ALLEE DES BERGERONNETTES;ALLEE DES BERGERONNETTES;True
13;ALLEE DES BOCHOUX;ALLEE DES BOCHOUX;True
14;ALLEE DES CITRONNIERS;ALLEE DES CITRONNIERS;True
15;ALLEE DES CYTISES;ALLEE DES CYTISES;True
16;ALLEE DES GROS BUISSONS;ALLEE DES GROS BUISSONS;True
17;ALLEE DES JONQUILLES;ALLEE DES JONQUILLES;True
18;ALLEE DES LILAS;ALLEE DES LILAS;True
19;ALLEE DES MARAICHERS;ALLEE DES MARAICHERS;True
20;ALLEE DES MARRONNIERS;ALLEE DES MARRONNIERS;True
21;ALLEE DES MIMOSAS;ALLEE DES MIMOSAS;True
22;ALLEE DES MOUETTES;ALLEE DES MOUETTES;True
23;ALLEE DES MYOSOTIS;ALLEE DES MYOSOTIS;True
24;ALLEE DES OLIVIERS;ALLEE DES OLIVIERS;True
25;ALLEE DES ORANGERS;ALLEE DES ORANGERS;True
26;ALLEE DES PINSONS;ALLEE DES PINSONS;True
27;ALLEE DES PLATANES;ALLEE DES PLATANES;True
28;ALLEE DES PRIMEVERES;ALLEE DES PRIMEVERES;True
29;ALLEE DES RIVES DE BAGATELLE;ALLEE DES RIVES DE BAGATELLE;True
30;ALLEE DES ROSES;ALLEE DES ROSES;True
31;ALLEE DES SEAUX D'EAU;ALLEE DES SEAUX D'EAU;False
32;ALLEE DES SOURCES;ALLEE DES SOURCES;True
33;ALLEE DES TILLEULS;ALLEE DES TILLEULS;True
34;ALLEE DES VIOLETTES;ALLEE DES VIOLETTES;True
36;ALLEE DU 8 MAI 1945;ALLEE DU 8 MAI 1945;True
35;ALLEE DU BEAU SITE;ALLEE BEAU SITE;False
37;ALLEE EDGARD FOURNIER;;False
38;ALLEE GEORGES BIZET;ALLEE GEORGES BIZET;True
39;ALLEE HAUTE VILLAGE ANGLAIS;;False
40;ALLEE JACQUES OFFENBACH;ALLEE JACQUES OFFENBACH;True
41;ALLEE JEAN-BAPTISTE LULLY;ALLEE JEAN-BAPTISTE LULLY;True
42;ALLEE JULES FERRY;ALLEE JULES FERRY;True
43;ALLEE LOUIS CHEVROLET;ALLEE LOUIS CHEVROLET;True
44;ALLEE MAURICE RAVEL;ALLEE MAURICE RAVEL;True
45;ALLEE MELIN;;False
46;ALLEE MELIN;;False
47;ALLEE MELIN;;False
48;ALLEE MELIN;;False
49;ALLEE SANTOS DUMONT;ALLEE SANTOS DUMONT;True
50;ALLEE SCHEURER KESTNER;ALLEE SCHEURER KESTNER;True
51;ALLEE WILLIAM PENN;ALLEE WILLIAM PENN;True
52;AV. DE LA BELLE GABRIELLE;;False
53;AV. DE LA FONTAINE DU TERTRE;;False
54;AV. D'ESTOURNELLES DE CONSTANT;;False
55;AV. PROFESSEUR LEON BERNARD;;False
56;AVENUE ALEXANDRE MAISTRASSE;AVENUE ALEXANDRE MAISTRASSE;True
57;AVENUE CHARLES DE GAULLE;;False
58;AVENUE CHARLES DE GAULLE;;False
59;AVENUE CHARLES DE GAULLE;;False
60;AVENUE CHARLES DE GAULLE;;False
61;AVENUE DE BELLEVUE;;False
62;AVENUE DE LA CRIOLLA;AVENUE DE LA CRIOLLA;True
63;AVENUE DE LA FOUILLEUSE;;False
64;AVENUE DE LA FOUILLEUSE;;False
65;AVENUE DE L'ABBE SAINT-PIERRE;;False
66;AVENUE DE L'ENTREE DU FORT;;False
67;AVENUE DE SULLY;AVENUE DE SULLY;True
68;AVENUE DES BAS ROGERS;;False
69;AVENUE DES BAS ROGERS;;False
70;AVENUE DES CONFERENCES;;False
71;AVENUE DES LANDES;AVENUE DES LANDES;True
72;AVENUE DU MARECHAL JUIN;AVENUE DU MARECHAL JUIN;True
73;AVENUE DU PRESIDENT WILSON;AVENUE DU PRESIDENT WILSON;True
74;AVENUE DU PRESIDENT WILSON;AVENUE DU PRESIDENT WILSON;True
75;AVENUE DU PRESIDENT WILSON;AVENUE DU PRESIDENT WILSON;True
76;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;True
77;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;True
78;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;True
79;AVENUE EDOUARD VAILLANT;AVENUE EDOUARD VAILLANT;True
80;AVENUE EMMANUEL KANT;AVENUE EMMANUEL KANT;True
81;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;True
82;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;True
83;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;True
84;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;True
85;AVENUE FRANKLIN ROOSEVELT;AVENUE FRANKLIN ROOSEVELT;True
86;AVENUE GABRIEL PERI;AVENUE GABRIEL PERI;True
87;AVENUE GEORGES POMPIDOU;AVENUE GEORGES POMPIDOU;True
88;AVENUE GUSTAVE STRESEMANN;AVENUE GUSTAVE STRESEMANN;True
89;AVENUE JEAN JAURES;AVENUE JEAN JAURES;True
90;AVENUE JEAN JAURES;AVENUE JEAN JAURES;True
91;AVENUE JEAN JAURES;AVENUE JEAN JAURES;True
92;AVENUE JEAN JAURES;AVENUE JEAN JAURES;True
93;AVENUE JEAN JAURES;AVENUE JEAN JAURES;True
94;AVENUE JUSTIN GODART;AVENUE JUSTIN GODART;True
95;AVENUE LEON BOURGEOIS;AVENUE LEON BOURGEOIS;True
96;AVENUE SISLEY;AVENUE SISLEY;True
97;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
98;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
99;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
100;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
101;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
102;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
103;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
104;BD. MARECHAL DE LATTRE DE TASSIGNY;;False
105;BOULEVARD ARISTIDE BRIAND;BOULEVARD ARISTIDE BRIAND;True
106;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
107;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
108;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
109;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
110;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
111;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
112;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
113;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;True
114;BOULEVARD LOUIS LOUCHEUR;BOULEVARD LOUIS LOUCHEUR;True
115;BOULEVARD WASHINGTON;BOULEVARD WASHINGTON;True
116;CARR. DES PATRIOTES FUSILLES;;False
117;CARREFOUR DE LA CROIX DU ROY;CARREFOUR DE LA CROIX DU ROY;True
118;CHEMIN DE LA LIBERTE;CHEMIN DE LA LIBERTE;True
119;CHEMIN DE LA MOTTE;CHEMIN DE LA MOTTE;True
120;CHEMIN DES HOCQUETTES;CHEMIN DES HOCQUETTES;True
121;CHEMIN DES PONEYS;CHEMIN DES PONEYS;True
122;CHEMIN DES ROSES;CHEMIN DES ROSES;True
123;COUR DES DAMES;;False
124;COURS MADELEINE;COURS MADELEINE;True
125;DOMAINE DES HOCQUETTES;DOMAINE DES HOCQUETTES;True
126;ESPLANADE DES COURTIEUX;;False
127;ESPLANADE JACQUES CHIRAC;ESPLANADE JACQUES CHIRAC;True
128;ETRANGER;;False
129;ETRANGER;;False
130;FORT DU MONT VALERIEN;;False
131;FORT DU MT VALERIEN C.T.I.P;;False
132;GARE SURESNES LONGCHAMP;;False
133;GARE SURESNES MT VALERIEN;;False
134;IMP. SOMMELIERS DE LA GROUE;;False
135;IMPASSE CLOS DES SEIGNEURS;;False
136;IMPASSE DES BOURETS;IMPASSE DES BOURETS;True
137;IMPASSE DES CHERCHEVETS;IMPASSE DES CHERCHEVETS;True
138;IMPASSE DES PETITS CLOS;IMPASSE DES PETITS CLOS;True
139;IMPASSE DES VIGNERONS;IMPASSE DES VIGNERONS;True
140;IMPASSE DU CALVAIRE;;False
141;IMPASSE DU CYGNE;IMPASSE DU CYGNE;True
142;IMPASSE DU FOUR;IMPASSE DU FOUR;True
143;IMPASSE SAINT-MAURICE;;False
144;IMPASSE SENTOU;;False
